People,Creator_role,Title,Notes
Aldous Huxley,Author,Contrapunto,
D. H. Lawrence,Author,Canguro,
Federico García Lorca,Author,Romancero gitano,
D. H. Lawrence,Author,La virgen y el gitano,
Victoria Ocampo,Author,Supremacía del Alma y de la Sangre,
Eduardo Mallea,Author,Conocimiento y expresión de la Argentina,
Francisco Luis Bernárdez,Author,El buque,
Louis Ferdinand Celine,Author,Mea culpa. Seguido de la vida y la obra de Semmelweis,
Eduardo Mallea,Author,Nocturno Europeo,
Igor Stravinsky,Author,Crónicas de mi vida,
Leopoldo Marechal,Author,Laberinto de amor,
Carlos Alberto Erro,Author,Tiempo lacerado,
Victoria Ocampo,Author,Domingos en Hyde Park,
Ramón Fernández,Author,André Gide y nuestro tiempo,
André Gide,Author,André Gide y nuestro tiempo,
René Gillouin,Author,André Gide y nuestro tiempo,
Jean Cuéhenno,Author,André Gide y nuestro tiempo,
Daniel Halévy,Author,André Gide y nuestro tiempo,
Gabriel Marcel,Author,André Gide y nuestro tiempo,
Jacques Maritain,Author,André Gide y nuestro tiempo,
Henri Massis,Author,André Gide y nuestro tiempo,
Thierry Maulnier,Author,André Gide y nuestro tiempo,
François Mauriac,Author,André Gide y nuestro tiempo,
Georges Guy-Grand,Author,André Gide y nuestro tiempo,
André Gide,Author,Regreso de la URSS,
C. G. Jung,Author,Tipos psicológicos,
André Malraux,Author,La condición humana,
Eduardo Mallea,Author,La ciudad junto al río inmóvil,
Jacques Maritain,Author,Carta sobre la independencia,
Igor Stravinsky,Author,Nuevas crónicas de mi vida,
Virginia Woolf,Author,Un cuarto propio,
Victoria Ocampo,Author,La mujer y su Expresión,
Aldous Huxley,Author,¿Cómo lo resuelve Ud.? El problema de la paz constructiva,
André Gide,Author,Perséphone,
Ramón Gómez de la Serna,Author,El cólera azul,
Alfonso Reyes,Author,Las vísperas de España,
Gregorio Marañón,Author,Vida e historia (ensayos),
Conrado Nalé Roxlo,Author,Claro desvelo,
André Gide,Author,Retoques a mi regreso de la U. R. S. S.,
Aldous Huxley,Author,Con los Esclavos en la Noria,
Virginia Woolf,Author,Orlando,
James Joyce,Author,Desterrados,
Jacques Maritain,Author,Sobre la guerra santa,
Silvina Ocampo,Author,Viaje olvidado,
Eduardo Mallea,Author,Historia de una pasión argentina,
Francisco Luis Bernárdez,Author,Cielo de tierra,
Carlos Alberto Erro,Author,Diálogo existencial,
Emile Gouirán,Author,Prolegómenos de una filosofía de la existencia,
Victoria Ocampo,Author,"Virginia Woolf, Orlando y Cía",
Julio Irazusta,Author,Actores y espectadores,
Eduardo González Lanuza,Author,La degollación de los inocente,
Luis Emilio Soto,Author,Crítica y estimación,
Xavier Villaurrutia,Author,Nostalgia de la muerte,
Robert Aron,Author,Napoleón venció en Waterloo,
Francisco Luis Bernárdez,Author,La ciudad sin Laura,
María Luisa Bombal,Author,La amortajada,
