Person,Contribution,Creator_role,Notes
Victoria Ocampo,"""Carta a Waldo Frank""",AU,
Waldo Frank,"""La selva""",AU,
Drieu de la Rochelle,"""Carta a unos desconocidos""",AU,
Jules Supervielle,"""Notas de viaje a Ouro Preto""",AU,
Alfonso Reyes,"""Compas poético""",AU,
Eugenio D'Ors,"""Los cuatros [sic] ordenes de la arquitectura picassiana""",AU,
Ricardo Güiraldes,"""De un epistolario"" (RG1)",AU,
Ernest Ansermet,"""Los problemas del compositor americano"" (1)",AU,
Jorge Luis Borges,"""El coronel Ascasubi""",AU,
Walter Gropius,"""El teatro total""",AU,
Alfonso Reyes,"""Un paso de América"" (notas)",AU,
Benjamin Fondane,"""El cinema en el atolladero"" (notas)",AU,
Victoria Ocampo,"""La aventura del mueble"" (notas)",AU,
Jorge Luis Borges,"""Séneca en las orillas"" (notas)",AU,
Alberto Prebisch,"""Precisiones de Le Corbusier"" (notas)",AU,
Guillermo de Torre,"""Nuevos pintores argentinos"" (notas)",AU,
Francisco Romero,"""Noticia y vejámen del 'alacraneo'"" (notas)",AU,
Enrique Bullrich,"""Ansermet y el sentido de una obra cultural"" (notas)",AU,
Norah Borges de Torre,"""Buenos Aires""",AR,
William Holland,"""Mujeres de Buenos Aires""",AR,
Pablo Picasso,"""Dibujo (1)""",AR,
Víctor Delhez,"""Palo Borracho (1)""",AR,
Víctor Delhez,"""Palo Borracho (2)""",AR,
Pablo Picasso,"""Dibujo (2)""",AR,
Víctor Delhez,"""Inscripciones de carros (1)""",AR,
Víctor Delhez,"""Inscripciones de carros (2)""",AR,
Lino Spilinbergo,"""La terraza""",AR,
Héctor Basaldúa,"""El paseo""",AR,
Emilio Pettoruti,"""La mujer Lila""",AR,
Conde de Keyserling,"""Perspectivas sudamericanas""",AU,
Victoria Ocampo,"""Contestación a un epílogo de Ortega y Gasset""",AU,
Jaime Torres Bodet,"""Pecho en tierra""",AU,
Ramón Gómez de la Serna,"""Riverismo""",AU,
Eduardo Mallea,"""Sumersión""",AU,
Jorge Luis Borges,"""El Martín Fierro""",AU,
Gerald Sykes,"""Excusas por mi salud""",AU,
Ernest Ansermet,"""Los problemas del compositor americano"" (2)",AU,
Langston Hughes,"""Tres poemas"" (LH)",AU,
Ricardo Güiraldes,"""De un epistolario"" (RG2)",AU,
Francisco Romero,"""Al márgen de 'La rebelión de las masas'"" (notas)",AU,
