Periodical,year,number,date,printer,colophon,price,cover_color,arrow_color
Sur,1,1,1931-01-01,Francisco A. Colombo,"""verano""; el colofon se presenta en la forma de una flecha ; el numero esta lleno de imagenes y fotos ; ""De este numero se han impreso cien ejemplares en papel hilo Stratton Bond, numerados del 1 al 100 y reservados exclusivamente a los subscriptores de la edicion de lujo""",$2.00,creme,green
Sur,1,2,1931-05-01,Francisco A. Colombo,"""otono"" ; el numero esta lleno de imagenes y fotos ; ""De este numero se han impreso cien ejemplares en papel hilo Stratton Bond, numerados del 1 al 100 y reservados exclusivamente a los subscriptores de la edicion de lujo""",$2.00,creme,yellow
Sur,1,3,1931-08-01,Francisco A. Colombo,"""invierno"" ; el numero esta lleno de imagenes y fotos ; ""De este numero se han impreso cien ejemplares en papel hilo Stratton Bond, numerados del 1 al 100 y reservados exclusivamente a los subscriptores de la edicion de lujo""",$2.00,creme,red
Sur,1,4,1931-11-01,Francisco A. Colombo,"""primavera"" ; el numero esta lleno de imagenes y fotos ; ""De este numero se han impreso cien ejemplares en papel hilo Stratton Bond, numerados del 1 al 100 y reservados exclusivamente a los subscriptores de la edicion de lujo""",$2.00,creme,blue
Sur,2,5,1932-05-01,Francisco A. Colombo,"""verano"" ; ""De este numero se han impreso cien ejemplares en papel hilo Stratton Bond, numerados del 1 al 100 y reservados exclusivamente a los subscriptores de la edicion de lujo""",$2.00,creme,grey
Sur,2,6,1932-11-01,Francisco A. Colombo,"""otono"" ; ""De este numero se han impreso cien ejemplares en papel hilo Stratton Bond, numerados del 1 al 100 y reservados exclusivamente a los subscriptores de la edicion de lujo""",$2.00,creme,violet
Sur,3,7,1933-04-01,Francisco A. Colombo,"""De este numero se han impreso cien ejemplares en papel hilo Stratton Bond, numerados del 1 al 100 y reservados exclusivamente a los subscriptores de la edicion de lujo""",$2.00,creme,marigold
Sur,3,8,1933-09-01,Francisco A. Colombo,"""De este numero se han impreso cien ejemplares en papel hilo Stratton Bond, numerados del 1 al 100 y reservados exclusivamente a los subscriptores de la edicion de lujo""",$2.00,creme,grey
Sur,4,9,1934-07-01,Imprenta Lopez,,$2.00,creme,pink
Sur,5,10,1935-07-01,Imprenta Lopez,,$1.00,green,creme
Sur,5,11,1935-08-01,Imprenta Lopez,,$1.00,red-orange,creme
Sur,5,12,1935-09-01,Imprenta Lopez,,$1.00,yellow,creme
Sur,5,13,1935-10-01,Imprenta Lopez,,$1.00,turquoise,creme
Sur,5,14,1935-11-01,Imprenta Lopez,,$1.00,creamsicle,creme
Sur,5,15,1935-12-01,Imprenta Lopez,,$1.00,grey,creme
Sur,6,16,1936-01-01,Imprenta Lopez,,$1.00,yellow,creme
Sur,6,17,1936-02-01,Imprenta Lopez,,$1.00,khaki,creme
Sur,6,18,1936-03-01,Imprenta Lopez,,$1.00,indigo,creme
Sur,6,19,1936-04-01,Imprenta Lopez,,$1.00,burnt orange-red,creme
Sur,6,20,1936-05-01,Imprenta Lopez,,$1.00,navy blue,creme
Sur,6,21,1936-06-01,Imprenta Lopez,,$1.00,dark khaki,creme
Sur,6,22,1936-07-01,Imprenta Lopez,,$1.00,green,creme
Sur,6,23,1936-08-01,Imprenta Lopez,,$1.00,red,creme
Sur,6,24,1936-09-01,Imprenta Lopez,,$1.00,blue grey,creme
Sur,6,25,1936-10-01,Imprenta Lopez,,$1.00,mustard yellow,creme
Sur,6,26,1936-11-01,Imprenta Lopez,,$1.00,peach,creme
Sur,6,27,1936-12-01,Imprenta Lopez,,$1.00,green,creme
Sur,7,28,1937-01-30,Imprenta Lopez,,$1.00,grey-brown,creme
