Name,Birthdate,Deathdate,Notes,Sex,Viaf_id,Birthplace,Deathplace,Occupation
Victoria Ocampo,1890-04-07,1979-01-27,,Female,14774594,"Buenos Aires, Argentina","Beccar, Argentina","Literary Journal Director, Writer, Essayist, Collaborator, Publisher, Feminist, Intellectual"
William Faulkner,1897-09-25,1962-07-06,,Male,39376770,"New Albany, Mississippi","Byhalia, Mississippi","Writer, Essayist"
Virginia Woolf,1882-01-25,1941-03-28,,Female,39385478,"Kensington, United Kingdom","Sussex, United Kingdom","Writer, Feminist, Author, Publisher"
Jorge Luis Borges,1899-08-24,1986-06-14,,Male,88919448,"Buenos Aires, Argentina","Geneva, Switzerland","Consejo de Redacción, Writer, Collaborator, Translator, Prologuist, Librarian, Short Story Writer"
Waldo Frank,1889-08-25,1967-01-09,,Male,39413836,"Long Branch, New York","White Plains, New York","Consejo Extranjero, Writer, Collaborator"
Federico García Lorca,1898-06-05,1936-08-19,,Male,34456883,"Andalusia, Spain","Granada, Spain","Writer, Poet, Author, Dramatist"
María Rosa Oliver,1898-09-10,1977-04-19,,Female,17385432,"Buenos Aires, Argentina","Buenos Aires, Argentina","Consejo de Redacción, Collaborator, Essayist, Feminist"
José Ortega y Gasset,1883-05-09,1955-10-18,,Male,95155380,"Madrid, Spain","Madrid, Spain","Consejo Extranjero, Writer, Collaborator"
Ernest Ansermet,1883-11-11,1969-02-20,Victoria participó en el estreno de El rey David de Honegger (bajo la dirección de Ansermet) en 1925,Male,14957421,"Vevey, Switzerland","Geneva, Switzerland","Consejo Extranjero, Conductor, Musician, Collaborator"
Pierre Drieu la Rochelle,1893-01-03,1945-03-15,,Male,27063717,"Paris, France","Paris, France","Consejo Extranjero, Writer, Collaborator"
Leo Ferrero,1903-10-16,1933-08-26,,Male,2510852,"Torino, Italy","Santa Fe, Argentina","Consejo Extranjero, Collaborator"
Pedro Henríquez Ureña,1884-06-29,1946-05-11,(dirigió la Orquesta del Profesorado Orquestal),Male,61558646,"Santo Domingo, Dominican Republic","Buenos Aires, Argentina","Consejo Extranjero, Writer, Collaborator"
Alfonso Reyes,1889-05-17,1959-12-27,,Male,29555218,"Monterrey, Mexico","Mexico City, Mexico","Consejo Extranjero, Writer, Collaborator"
Jules Supervielle,1884-01-16,1960-05-17,,Male,41846928,"Montevideo, Uruguay","Paris, France","Consejo Extranjero, Poet, Collaborator"
Eduardo J. Bullrich,1895-03-27,1950-05-25,"primo hermano de Victoria (y sus hermanas); ""en experto en arte contemporáneo que había intervenido en el diseño de la tapa de la revista"" (Sitman 82)",Male,71619611,"Buenos Aires, Argentina","Buenos Aires, Argentina","Consejo de Redacción, Collaborator"
Oliverio Girondo,1891-08-17,1967-01-24,,Male,76327294,"Buenos Aires, Argentina","Buenos Aires, Argentina","Consejo de Redacción, Writer, Collaborator"
Alfredo González Garaño,1886-03-02,1905-05-22,,Male,30962511,"Buenos Aires, Argentina","Buenos Aires, Argentina","Consejo de Redacción, Collaborator, Translator, Painter"
Guillermo de Torre,1899-12-31,1971-01-14,Secretario de redacción (1931-1938),Male,116932494,"Madrid, Spain","Buenos Aires, Argentina","Consejo de Redacción, Writer, Collaborator, Secretario de Redacción"
D. H. Lawrence,1885-09-11,1930-03-02,,Male,95150359,"Eastwood, United Kingdom","Vence, France","Novelist, Poet, Playwright, Essayist, Literary Critic, Painter"
Aldous Huxley,1894-07-26,1963-11-22,,Male,71392434,"Godalming, United Kingdom","Los Angeles, California","Writer, Novelist, Philosopher"
Eduardo Mallea,1903-08-14,1982-11-12,,Male,114171402,"Bahia Blanca, Argentina","Buenos Aires, Argentina","Essayist, Critic, Writer, Diplomat"
Francisco Luis Bernárdez,1900-10-05,1978-01-01,,Male,99799184,"Buenos Aires, Argentina","Buenos Aires, Argentina",Poet
Igor Stravinsky,1882-06-17,1971-04-06,,Male,17309155,"Lomonosov, Russia","New York City, New York","Composer, Musician, Conductor"
C. G. Jung,1875-07-26,1961-06-06,,Male,88819182,"Kesswil, Switzerland","Küsnacht, Switzerland","Psychiatrist, Psychoanalyst, Writer"
Silvina Ocampo,1903-07-01,1993-12-14,,Female,100247821,"Buenos Aires, Argentina","Buenos Aires, Argentina","Poet, Secretario de Redacción"
Gabriela Mistral,1889-04-07,1957-01-10,,Female,44311414,"Vicuña, Chile","Hempstead, New York","Poet, Diplomat, Educator"
María Luisa Bombal,1910-06-08,1980-05-06,,Female,112427097,"Viña del Mar, Chile","Santiago, Chile","Writer, Secretario de Redacción"
Norah Borges de Torre,1901-03-04,1998-07-20,,Female,72662971,"Buenos Aires, Argentina","Buenos Aires, Argentina","Writer, Artist, Collaborator"
Enrique Bullrich,,,,Male,,"Buenos Aires, Argentina","Buenos Aires, Argentina",Collaborator
Francisco Romero,,1905-05-15,,Male,9865505,"Sevilla, Spain","Buenos Aires, Argentina","Collaborator, Philosopher"
José Bianco,1908-11-21,1986-04-24,,Male,19697874,"Buenos Aires, Argentina","Buenos Aires, Argentina","Collaborator, Secretario de Redacción, Writer"
Raimundo Lida,1908-11-15,1979-06-20,translated Victoria de francés al español,Male,87710562,"Lviv, Ukraine","Cambridge, Massachusetts","Collaborator, Writer, Secretario de Redacción, Translator"
Adolfo Bioy Casares,1914-09-15,1999-03-08,,Male,12305230,"Buenos Aires, Argentina","Buenos Aires, Argentina","Writer, Collaborator"
Octavio Paz,1914-03-31,1998-04-19,,Male,41844743,"Mexico City, Mexico","Mexico City, Mexico","Writer, Poet, Diplomat"
Ernesto Sabato,1911-06-24,2011-04-30,,Male,108131182,"Buenos Aires, Argentina","Santos Lugares, Argentina","Writer, Secretario de Redacción"
Pablo Neruda,1904-07-12,1973-09-23,,Male,95126958,"Parral, Chile","Santiago, Chile","Writer, Poet, Diplomat, Politician"
Gabriel García Márquez,1927-03-06,2014-04-17,,Male,54147956,"Aracataca, Colombia","Mexico City, Mexico","Novelist, Short Story Writer, Screenwriter, Journalist"
Peregrina Pastorino,,,,Female,,"Buenos Aires, Argentina","Buenos Aires, Argentina",Secretario de Redacción
"Enrique Pezzoni (""Enrique Tejedor"")",1926-02-25,1989-10-31,,Male,218195575,"Buenos Aires, Argentina","Buenos Aires, Argentina","Secretario de Redacción, Poet, Professor, Writer, Translator, Literary Critic"
Jack Kerouac,1922-03-12,1969-10-21,,Male,27066713,"Lowell, Massachusetts","St. Petersburg, Florida","Novelist, Poet"
Juan Carlos Onetti,1909-07-01,1994-05-30,,Male,41844581,"Montevideo, Uruguay","Madrid, Spain","Novelist, Short Story Writer"
Jean-Paul Sartre,1905-06-21,1980-04-15,,Male,76322562,"Paris, France","Paris, France","Philosopher, Playwright, Novelist, Political Activist, Biographer, Literary Critic"
Vladimir Nabokov,1899-04-22,1977-07-02,,Male,27069388,"Saint Petersburg, Russia","Montreux, Switzerland","Novelist, Entomologist"
Albert Camus,1913-11-07,1960-01-04,,Male,97000332,"Dréan, Algeria","Villeblevin, France","Philosopher, Author, Journalist"
Horacio Quiroga,1878-12-31,1937-02-19,,Male,19689428,"Salta, Uruguay","Buenos Aires, Argentina","Poet, Playwright, Short Story Writer"
Rabindranath Tagore,1861-05-07,1941-08-07,"Fell ill during a trip to Lima, Perú (flu) and had to cancel his trip there and instead stay in Buenos Aires, Argentina (where his ship docked); when Victoria heard of this, she rushed to the hotel where he was staying and put him up in one of her homes. This happened in November of 1924, and he stayed with her until January 1925. They met again in Paris, France in June of 1930",Male,24608356,"Kolkata, India","Kolkata, India","Writer, Musician, Polymath"
María Esther Vásquez,1905-04-20,2017-03-25,"First met Victoria Ocampo at a meeting of the SADE (in their original building on the calle México in Buenos Aires, Argentina) on June 13, 1951",Female,73870598,"Buenos Aires, Argentina","Buenos Aires, Argentina","Writer, Journalist"
