Place,Latitude,Longitude
"Aberdeen, United Kingdom",57.149717,-2.094278
"Addison, Maine",44.618333,-67.744167
"Adelaide, Australia",-34.929,138.601
"Ahrensburg, Germany",53.6764136,10.2378854
"Aix-en-Provence, France",43.529742,5.447427
"Alassio, Italy",44.014336,8.1811741
"Albairate, Italy",45.4253354,8.9448741
"Alberti, Buenos Aires, Argentina",-35.0316512,-60.2802699
"Albuquerque, New Mexico",35.0853336,-106.6055534
"Alexandria, Egypt",31.2000924,29.9187387
"Allahabad, India",25.4358011,81.846311
"Amenia, New York",41.8492599,-73.5567918
"Amherst, Massachusetts",42.3732216,-72.5198537
"Amityville, New York",40.6789893,-73.4170673
"Amsterdam, Netherlands",52.3702157,4.8951679
"Andalusia, Spain",37.5442706,-4.7277528
"Anhui, China",30.6006773,117.9249002
"Antwerp, Belgium",51.2194475,4.4024643
"Apulia, Italy",40.7928393,17.1011931
"Aracataca, Colombia",10.591925,-74.186103
"Arequipa, Peru",-16.4090474,-71.537451
Argentina,-38.416097,-63.616672
"Arlington, Massachusetts",42.4153925,-71.1564729
"Ascona, Switzerland",46.1615793,8.7750131
"Asuncion, Paraguay",-25.2637399,-57.575926
"Auschwitz, Poland",50.0274106,19.2019829
"Avellaneda, Argentina",-34.6610756,-58.3669739
"Ayot St Lawrence, United Kingdom",51.837203,-0.266776
"Badajoz, Spain",38.8794495,-6.9706535
"Baden-Baden, Germany",48.7656,8.2285
"Bahia Blanca, Argentina",-38.7183177,-62.2663478
"Barcelona, Spain",41.3850639,2.1734035
"Bar Harbor, Maine",44.3876119,-68.2039123
"Bar-sur-Aube, France",48.231209,4.707771
"Basel, Switzerland",47.5595986,7.5885761
"Bas-Rhin, France",48.6343172,7.5252938
"Bayamo, Cuba",20.3719163,-76.6297189
"Beccar, Argentina",-34.4640891,-58.5347609
Belgium,50.503887,4.469936
"Belgrave Square, London, United Kingdom",51.498659,-0.15267
"Bellac, France",46.122228,1.051593
"Bellagio, Lombardy, Italy",45.9641291,9.2461642
"Berkeley, California",37.8715926,-122.272747
"Berlin, Germany",52.5200066,13.404954
"Beverly Hills, California",34.0736204,-118.4003563
"Biarritz, France",43.48,-1.56
"Bogot͍, Colombia",4.7109886,-74.072092
"Bologna, Italy",44.494887,11.3426162
"Bordeaux, France",44.837789,-0.57918
"Boston, Massachusetts",42.3600825,-71.0588801
"Boston, Massachussets",42.3600825,-71.0588801
"Boulogne-sur-Mer, France",50.725231,1.613334
"Branchville, Connecticut",41.2675956,-73.4417885
"Brentwood, California",37.931944,-121.695833
"Bristol, United Kingdom",51.454513,-2.58791
"Brno, Czech Republic",49.1950602,16.6068371
"Bromley, United Kingdom",51.406025,0.013156
"Brookline, Massachusetts",42.3317642,-71.1211635
"Brussels, Belgium",50.8503463,4.3517211
"Bucharest, Romania",44.4267674,26.1025384
"Budapest, Hungary",47.497912,19.040235
"Buenos Aires, Argentina",-34.6036844,-58.3815591
"Buffalo, New York",42.8864468,-78.8783689
"Buga, Colombia",3.9005079,-76.3021889
Bulgaria,42.733883,25.48583
"Burgo de Osma-Ciudad de Osma, Spain",41.587565,-3.0668549
"Burgos, Spain",42.3439925,-3.696906
"Bury St Edmunds, United Kingdom",52.2429228,0.7104932
"Byhalia, Mississippi",34.8723179,-89.6906396
"Cairo, Egypt",30.0444196,31.2357116
"Calais, France",50.95129,1.858686
"Camaguey, Cuba",21.3926035,-77.9053182
"Cambridge, Massachusetts",42.3736158,-71.1097335
"Cambridge, United Kingdom",52.2053,0.1218
"Campana, Buenos Aires, Argentina",-34.1633346,-58.9592643
"Campo Quijano, Argentina",-24.907204,-65.6441178
"Cannes, France",43.552849,7.017369
"Canoabo, Venezuela",10.3091314,-68.278778
"Cantagalo, Rio de Janeiro, Brazil",-21.9802716,-42.3625761
"Caracas, Venezuela",10.4805937,-66.9036063
"Cartagena, Chile",-33.5482466,-71.6045745
"Cavallasca, Italy",45.8144729,9.0319407
