id,name,birthdate,birthplace,deathdate,deathplace,occupations,notes,sex,viaf_id
14303,A. M. B.,,,,,,¿Ana M. Berry?,,
15696,Abel Cháneton,1887-09-07,377,1943-02-13,110,"1391,1419,1427,1451,1602",,Male,20054937
15522,Abel Mateo,1913-01-01,62,,,1407,Pseudonym = Diego Keltiber; Detective Fiction Writer,Male,
14847,Abelardo Arias,1918-01-01,110,1991-02-27,62,1391,,Male,206276715
15013,Abelardo Castillo,1935-03-27,1036,2017-05-02,62,"1391,1392,1407,1530",,Male,84194925
15244,Abelardo González,,,,,1391,,Male,60815700
13907,Abraham Eidlicz,1905-04-05,62,,547,"1484,1519","Investigator (Economics, Energy)",Male,
15581,Adalgisa Nery,1905-10-29,353,1980-06-07,353,"1399,1416,1419",,Female,75244038
14806,Adam Charles Ernest,1857-12-14,921,1940-08-27,922,1410,,Male,108271755
14029,Adan C. Diehl,1905-03-02,62,1905-05-06,62,"1399,1439",,Male,
14716,Adela Grondona,1912-01-01,22,1997-01-01,,1391,,Female,6311062
14734,Adelmo Montenegro,1911-06-12,888,1994-10-20,,"1391,1420",,Male,53097587
14129,Adlai Stevenson II,1900-02-05,238,1965-07-14,235,"1414,1416,1427",,Male,54944639
14577,Adolf Hitler,1889-04-20,762,1945-04-30,44,"1416,1614",,Male,38190770
14744,Adolfo A. Pozzo,,,,,"1391,1404,1420",,Male,
13655,Adolfo Bioy Casares,1914-09-15,62,1999-03-08,62,"1391,1393",,Male,12305230
15595,Adolfo de Obieta,1912-01-01,62,2002-02-26,62,"1391,1420",,Male,91851664
15471,Adolfo López O'Brien,,,,,1393,,Male,
14743,Adolfo Luis Pérez Zelaschi,1920-02-15,890,2005-03-06,62,1391,,Male,50561560
15545,Adolfo Mitre,1910-01-01,22,1964-01-01,,1419,,Male,19756817
14451,Adolfo P. Carpio,1923-06-03,62,1996-12-25,62,"1391,1404,1410,1420",,Male,93699841
13986,Adriano G. Carmona Romay,1905-02-02,174,1967-02-01,763,1391,,Male,18710741
14243,Adrienne Monnier,1892-04-26,318,1955-06-19,318,"1391,1394,1585",,Female,22281109
13802,Afranio Peixoto,1876-12-17,222,1947-01-12,353,"1391,1416,1425,1451,1490,1491",President of a University,Male,51728163
15059,Agustín Cuzzani,1924-08-28,62,1987-12-25,110,1401,,Male,78622281
15245,Agustín González,1930-03-24,247,2005-01-16,247,1473,,Male,74956458
15758,Agustín Rivero Astengo,1896-10-19,62,1951-03-12,62,1391,,Male,6955877
13954,Agustín Yañez,1904-05-04,163,1980-01-17,261,"1391,1416",,Male,112551221
14675,Agustina Larreta de Alzaga,1903-01-01,62,1977-08-21,62,"1391,1399",,Female,20930492
14810,Alain de Lille,1128-01-01,228,1202-12-29,925,"1399,1504",,Male,72187470
14316,Alain Fournier,1886-10-03,586,1914-09-22,587,"1400,1499",Pseudonym of Henri-Alban Fournier,Male,34452139
15276,Alain Grandbois,1900-05-25,1176,1975-03-18,1177,1399,,Male,39402318
14155,Alain Malraux,1944-06-11,125,,547,1391,son of Madeleine Malraux ,Male,34578454
14399,Alan Payan Pryce-Jones,1908-11-18,235,2000-01-22,,"1400,1416,1419,1439,1455",Editor of the _Times Literary Supplement_ from 1948 to 1959.,Male,98132193
14575,Alba Omil,,760,,,"1391,1420,1455",,Female,32029665
14881,Albert Bayet,1880-02-01,590,1961-06-26,318,"1420,1452",,Male,14810509
15833,Albert Béguin,1901-07-17,209,1957-05-03,356,"1391,1404,1460",,Male,100195090
13666,Albert Camus,1913-11-07,127,1960-01-04,476,"1400,1410,1419",,Male,97000332
15107,Albert Ducrocq,1921-07-09,529,2001-10-22,1094,"1392,1419,1541",,Male,56609059
15119,Albert Einstein,1879-03-14,1100,1955-04-18,497,"1485,1583",,Male,75121530
15840,Albert H. Aldridge,1893-07-19,1451,1983-01-01,,"1466,1633,1676",,Male,
14334,Albert Harkness Jr.,,,,,,,,
14092,Albert Kahn,1860-03-03,36,1940-11-14,173,"1467,1548",,Male,27073338
13888,Albert Schweitzer,1875-01-14,194,1965-09-04,214,"1391,1410,1490,1504,1508,1509",,Male,17367
14862,Alberto Baeza Flores,1914-01-11,401,1998-01-06,262,"1391,1399,1419",,Male,49220015
15044,Alberto Corvalán,1916-09-14,1058,2010-07-21,401,"1416,1484,1511",Luis Alberto Corvalán,Male,110433448
14134,Alberto de Zavalía,1911-05-04,62,1988-05-07,62,"1479,1560",,Male,16349881
15229,Alberto E. Ginastera,1916-04-11,62,1983-06-25,152,1411,,Male,27251793
15710,Alberto Franco,1903-07-14,62,1981-01-01,233,"1391,1393,1399",,Male,86374077
15713,Alberto Gerchunoff,1883-01-01,1398,1950-03-02,62,"1391,1419",,Male,14784457
13674,Alberto Girri,1919-11-27,62,1991-11-16,62,1399,,Male,32007181
13918,Alberto J. Aguirre,1912-04-02,62,,547,1520,,Male,
14153,Alberto Jiménez Fraud,1883-02-04,249,1964-04-23,152,"1390,1404,1420","First director of the ""Residencia de Estudiantes""",Male,53095287
15373,Alberto Junyent,1903-01-01,32,1976-01-01,318,"1405,1433,1441",,Male,6593275
14251,Alberto Luis Bixio,,,,,,,,
